Date,AGG,EEM,EFA,GLD,IWM,LQD,MTUM,QQQ,QUAL,SPY,TLT,USMV,VLUE,VNQ
2025-05-21,92.77273559570312,44.86818313598633,83.6103286743164,305.82000732421875,200.56649780273438,100.65788269042969,224.07522583007812,510.0081481933594,174.0867919921875,574.7732543945312,80.02851104736328,91.27388763427734,104.2558364868164,83.32274627685547
2025-05-22,93.04104614257812,44.722476959228516,83.56279754638672,303.1099853515625,200.55662536621094,101.17228698730469,224.20401000976562,510.96246337890625,173.79026794433594,575.0001220703125,80.4478759765625,90.84205627441406,103.74916076660156,82.94141387939453
2025-05-23,93.1751937866211,44.90703582763672,83.6768569946289,309.75,199.92495727539062,101.2485122680664,223.6788330078125,506.2306213378906,172.0011444091797,571.0753784179688,80.58130645751953,90.70465087890625,103.2814712524414,83.02720642089844
2025-05-27,93.59681701660156,44.80018615722656,84.89342498779297,304.5,204.99807739257812,102.16304779052734,228.48477172851562,518.1398315429688,175.52993774414062,582.9482421875,81.70592498779297,91.61739349365234,104.99634552001953,84.47630310058594
2025-05-28,93.42433166503906,44.596195220947266,83.91446685791016,303.80999755859375,202.83657836914062,101.91536712646484,228.02894592285156,515.8433837890625,174.35365295410156,579.5757446289062,81.35327911376953,90.93037414550781,104.14864349365234,84.3905029296875
2025-05-29,93.76929473876953,44.76133728027344,84.28514099121094,305.6099853515625,203.4386444091797,102.37264251708984,228.2271270751953,516.8574829101562,174.84788513183594,581.8635864257812,82.106201171875,91.24444580078125,104.27531433105469,85.15318298339844
2025-05-30,93.99925994873047,44.21735763549805,84.40869903564453,303.6000061035156,202.40231323242188,102.66796112060547,229.43603515625,516.042236328125,175.0159149169922,581.2127075195312,82.23008728027344,91.7744140625,104.24607849121094,85.15318298339844
2025-06-02,93.75218200683594,44.53791046142578,85.31161499023438,311.6700134277344,203.03399658203125,102.37728881835938,231.37823486328125,520.1181030273438,175.7967987060547,584.4866943359375,81.4648208618164,91.93144989013672,104.31429290771484,85.26759338378906
2025-06-03,93.68488311767578,44.6447639465332,84.66532135009766,308.9100036621094,206.310791015625,102.42510986328125,232.1709747314453,524.183837890625,176.8939971923828,587.8197631835938,81.32131958007812,91.9412612915039,105.5809555053711,85.09597778320312
2025-06-04,94.24246978759766,45.19845199584961,85.04549407958984,310.8999938964844,205.72848510742188,103.17091369628906,231.5962371826172,525.6452026367188,177.5562744140625,587.6619262695312,82.64144134521484,91.5486831665039,105.33736419677734,85.33431243896484
2025-06-05,94.00213623046875,45.43158721923828,84.98845672607422,309.3299865722656,205.81727600097656,102.85539245605469,229.30723571777344,521.6887817382812,177.09169006347656,584.8219604492188,82.69881439208984,91.38185119628906,105.23992919921875,85.26759338378906
2025-06-06,93.5214614868164,45.577293395996094,85.2926025390625,305.17999267578125,209.1434326171875,102.23387145996094,230.6251678466797,526.788330078125,178.31736755371094,590.8275146484375,81.64656066894531,92.00996398925781,106.47734832763672,85.67752075195312
2025-06-09,93.6368179321289,45.96584701538086,85.2831039428711,306.6199951171875,210.58445739746094,102.53984832763672,229.3468780517578,527.5637817382812,177.66502380371094,591.3599853515625,81.73265838623047,91.4014663696289,106.98401641845703,85.79192352294922
2025-06-10,93.84832000732422,46.228118896484375,85.39715576171875,306.7099914550781,211.71951293945312,102.78845977783203,229.2576904296875,531.0531005859375,179.05870056152344,594.7128295898438,82.15355682373047,91.52906036376953,108.31888580322266,86.5260009765625
2025-06-11,94.16557312011719,46.422401428222656,85.25458526611328,308.3699951171875,210.8509521484375,103.11355590820312,230.2584991455078,529.263671875,178.4854278564453,593.0166625976562,82.40228271484375,91.34259033203125,107.73426818847656,86.0588607788086
2025-06-12,94.51165771484375,46.50010681152344,85.91039276123047,312.20001220703125,210.01199340820312,103.687255859375,230.17921447753906,530.5062255859375,179.0982666015625,595.37353515625,83.3875961303711,92.06884765625,107.92913818359375,86.47834014892578
